,CB,PGR,MET,AIG,ALL,PRU,TRV,AJG,AFL,HIG,CINF,MKL,ACGL,PFG,BRO,L,LNC,WRB,AIZ,Y,GL,ATH,AFG,VOYA,ORI,FAF,PRI,UNM,THG,SIGI,ERIE,KMPR,RLI,TRUP,AXS,BHF,KNSL,WTM,CNO,AGO,AEL,LMND,ARGO,MCY,PLMR,GNW,XTSLA,EHTH,ANAT,JRVR,CNA,HMN,AMSF,EIG,PRA,SAFT,AMBC,MILE,MBI,UFCS,NWLI,UVE,STFC,WFFUT,IXAU1,USD,OSCR,ROOT,SUM
07/09/2021,10.65,8.42,6.45,5.88,5.8,5.8,4.55,4.4,4.39,3.33,2.66,2.56,2.39,2.38,1.91,1.84,1.69,1.62,1.45,1.43,1.36,1.32,1.28,1.14,1.08,1.0,0.89,0.87,0.75,0.73,0.73,0.67,0.64,0.62,0.61,0.58,0.57,0.56,0.48,0.39,0.38,0.29,0.28,0.27,0.26,0.24,0.24,0.23,0.22,0.21,0.19,0.19,0.18,0.15,0.15,0.14,0.12,0.1,0.09,0.09,0.09,0.06,0.05,0.01,0.0,0.0,0.0,0.0,100.1
07/12/2021,10.67,8.66,6.34,5.78,5.87,5.74,4.58,4.42,4.41,3.34,2.65,2.59,2.37,2.36,1.91,1.84,1.66,1.62,1.45,1.44,1.36,1.28,1.29,1.14,1.08,1.05,0.88,0.85,0.76,0.74,0.73,0.67,0.65,0.6,0.6,0.56,0.56,0.56,0.47,0.39,0.41,0.27,0.28,0.26,0.26,0.25,0.11,0.24,0.22,0.21,0.19,0.19,0.18,0.15,0.14,0.13,0.12,0.09,0.09,0.08,0.09,0.06,0.06,0.01,0.0,0.0,0.0,0.0,100.01
07/13/2021,10.67,8.66,6.34,5.78,5.87,5.74,4.58,4.42,4.41,3.34,2.65,2.59,2.37,2.36,1.91,1.84,1.66,1.62,1.45,1.44,1.36,1.28,1.29,1.14,1.08,1.05,0.88,0.85,0.76,0.74,0.73,0.67,0.65,0.6,0.6,0.56,0.56,0.56,0.47,0.39,0.41,0.27,0.28,0.26,0.26,0.25,0.11,0.24,0.22,0.21,0.19,0.19,0.18,0.15,0.14,0.13,0.12,0.09,0.09,0.08,0.09,0.06,0.06,0.01,0.0,0.0,0.0,0.0,100.01
07/14/2021,10.7,8.53,6.41,5.88,5.84,5.79,4.6,4.36,4.38,3.33,2.7,2.58,2.36,2.38,1.88,1.86,1.69,1.61,1.44,1.43,1.36,1.27,1.29,1.15,1.08,1.06,0.89,0.87,0.76,0.73,0.72,0.66,0.64,0.58,0.6,0.57,0.55,0.54,0.48,0.39,0.4,0.27,0.28,0.26,0.26,0.25,0.15,0.24,0.22,0.21,0.19,0.19,0.18,0.14,0.14,0.13,0.12,0.1,0.09,0.08,0.08,0.06,0.05,0.01,0.0,0.0,0.0,0.0,100.04
07/16/2021,10.79,8.42,6.43,5.9,5.83,5.8,4.62,4.34,4.38,3.41,2.71,2.5,2.31,2.38,1.88,1.85,1.71,1.61,1.43,1.41,1.36,1.25,1.31,1.16,1.06,1.04,0.89,0.87,0.74,0.71,0.71,0.65,0.63,0.56,0.6,0.57,0.55,0.53,0.47,0.53,0.4,0.26,0.28,0.26,0.24,0.24,0.09,0.23,0.22,0.21,0.18,0.19,0.18,0.14,0.14,0.13,0.11,0.09,0.08,0.08,0.08,0.06,0.13,0.01,0.0,0.08,0.0,0.0,100.01
07/19/2021,10.88,8.4,6.38,5.86,5.81,5.78,4.67,4.34,4.4,3.42,2.7,2.5,2.33,2.37,1.89,1.86,1.69,1.62,1.43,1.42,1.36,1.25,1.3,1.16,1.06,1.04,0.88,0.87,0.75,0.71,0.71,0.65,0.63,0.55,0.6,0.56,0.56,0.53,0.46,0.52,0.4,0.24,0.28,0.26,0.24,0.24,0.2,0.23,0.22,0.21,0.18,0.19,0.18,0.14,0.14,0.13,0.11,0.09,0.08,0.08,0.07,0.06,0.13,0.01,0.0,0.0,0.0,0.0,100.01
07/20/2021,10.95,8.14,6.4,6.04,5.73,5.79,4.68,4.36,4.41,3.43,2.7,2.51,2.33,2.37,1.91,1.86,1.68,1.63,1.43,1.42,1.36,1.24,1.32,1.16,1.06,1.04,0.88,0.86,0.75,0.71,0.7,0.65,0.64,0.54,0.61,0.56,0.57,0.53,0.46,0.52,0.41,0.24,0.28,0.25,0.23,0.24,0.15,0.23,0.22,0.21,0.18,0.2,0.18,0.14,0.14,0.13,0.11,0.09,0.08,0.08,0.08,0.06,0.13,0.01,0.0,0.01,0.0,0.0,100.01
07/22/2021,10.95,8.39,6.3,5.84,5.79,5.71,4.7,4.39,4.4,3.44,2.69,2.56,2.34,2.35,1.94,1.82,1.61,1.64,1.44,1.42,1.35,1.21,1.34,1.16,1.05,1.06,0.88,0.84,0.74,0.72,0.72,0.64,0.65,0.58,0.61,0.54,0.57,0.54,0.46,0.52,0.4,0.24,0.27,0.25,0.25,0.23,0.16,0.23,0.22,0.21,0.18,0.2,0.18,0.15,0.14,0.14,0.1,0.09,0.08,0.08,0.08,0.06,0.14,0.01,0.0,0.0,0.0,0.0,99.99
07/23/2021,11.16,8.18,6.35,5.99,5.66,5.77,4.59,4.37,4.4,3.41,2.69,2.56,2.35,2.39,1.92,1.83,1.63,1.63,1.43,1.41,1.36,1.21,1.35,1.16,1.06,1.06,0.88,0.85,0.73,0.72,0.71,0.64,0.65,0.58,0.61,0.55,0.56,0.54,0.46,0.52,0.41,0.24,0.27,0.25,0.25,0.22,0.15,0.23,0.22,0.21,0.18,0.2,0.18,0.14,0.14,0.13,0.1,0.09,0.08,0.08,0.07,0.06,0.14,0.01,0.0,0.0,0.0,0.0,99.97
07/27/2021,11.14,8.09,6.37,6.04,5.69,5.8,4.49,4.47,4.41,3.37,2.65,2.57,2.36,2.41,1.93,1.84,1.66,1.62,1.42,1.41,1.36,1.23,1.36,1.17,1.06,1.1,0.88,0.86,0.72,0.71,0.7,0.63,0.63,0.58,0.6,0.55,0.55,0.54,0.46,0.52,0.41,0.25,0.27,0.25,0.25,0.23,0.15,0.23,0.22,0.21,0.18,0.2,0.17,0.14,0.14,0.13,0.1,0.09,0.08,0.08,0.07,0.06,0.14,0.01,0.0,0.0,0.0,0.0,100.01
07/29/2021,11.1,8.13,6.35,6.01,5.74,5.82,4.48,4.37,4.43,3.37,2.66,2.54,2.38,2.41,1.94,1.84,1.68,1.59,1.44,1.39,1.36,1.24,1.33,1.17,1.06,1.09,0.88,0.87,0.72,0.71,0.7,0.63,0.65,0.59,0.61,0.56,0.57,0.53,0.46,0.53,0.42,0.24,0.27,0.25,0.25,0.23,0.16,0.22,0.22,0.21,0.18,0.2,0.17,0.13,0.14,0.13,0.1,0.09,0.1,0.08,0.07,0.06,0.14,0.01,0.0,0.01,0.0,0.0,100.01
07/30/2021,11.17,8.23,6.3,5.96,5.77,5.8,4.5,4.37,4.43,3.36,2.64,2.54,2.37,2.41,1.95,1.83,1.66,1.59,1.44,1.4,1.35,1.23,1.32,1.17,1.06,1.09,0.88,0.87,0.71,0.72,0.7,0.63,0.65,0.59,0.61,0.55,0.59,0.53,0.46,0.52,0.41,0.24,0.27,0.25,0.26,0.23,0.16,0.22,0.22,0.2,0.18,0.2,0.17,0.13,0.14,0.13,0.1,0.08,0.09,0.08,0.07,0.06,0.13,0.01,0.0,0.01,0.0,0.0,99.99
08/02/2021,10.97,8.17,6.32,5.98,5.79,5.82,4.45,4.31,4.55,3.41,2.67,2.51,2.35,2.41,1.94,1.82,1.69,1.56,1.44,1.39,1.35,1.23,1.33,1.19,1.06,1.11,0.89,0.86,0.73,0.73,0.7,0.63,0.66,0.6,0.61,0.56,0.6,0.53,0.46,0.53,0.42,0.24,0.27,0.25,0.27,0.23,0.16,0.22,0.22,0.21,0.18,0.2,0.17,0.14,0.14,0.13,0.1,0.09,0.09,0.08,0.07,0.06,0.13,0.01,0.0,0.02,0.0,0.0,100.01
08/03/2021,11.11,8.15,6.29,5.94,5.7,5.78,4.47,4.33,4.52,3.45,2.68,2.52,2.39,2.39,1.93,1.82,1.68,1.56,1.45,1.41,1.34,1.23,1.33,1.19,1.07,1.12,0.88,0.85,0.74,0.74,0.7,0.61,0.65,0.59,0.62,0.56,0.59,0.53,0.46,0.53,0.42,0.24,0.27,0.24,0.27,0.23,0.16,0.21,0.23,0.2,0.18,0.2,0.18,0.14,0.13,0.13,0.1,0.08,0.09,0.08,0.07,0.06,0.13,0.01,0.0,0.02,0.0,0.0,99.97
08/04/2021,11.11,8.15,6.29,5.94,5.7,5.78,4.47,4.33,4.52,3.45,2.68,2.52,2.39,2.39,1.93,1.82,1.68,1.56,1.45,1.41,1.34,1.23,1.33,1.19,1.07,1.12,0.88,0.85,0.74,0.74,0.7,0.61,0.65,0.59,0.62,0.56,0.59,0.53,0.46,0.53,0.42,0.24,0.27,0.24,0.27,0.23,0.16,0.21,0.23,0.2,0.18,0.2,0.18,0.14,0.13,0.13,0.1,0.08,0.09,0.08,0.07,0.06,0.13,0.01,0.0,0.02,0.0,0.0,99.97
08/05/2021,11.11,8.15,6.29,5.94,5.7,5.78,4.47,4.33,4.52,3.45,2.68,2.52,2.39,2.39,1.93,1.82,1.68,1.56,1.45,1.41,1.34,1.23,1.33,1.19,1.07,1.12,0.88,0.85,0.74,0.74,0.7,0.61,0.65,0.59,0.62,0.56,0.59,0.53,0.46,0.53,0.42,0.24,0.27,0.24,0.27,0.23,0.16,0.21,0.23,0.2,0.18,0.2,0.18,0.14,0.13,0.13,0.1,0.08,0.09,0.08,0.07,0.06,0.13,0.01,0.0,0.02,0.0,0.0,99.97
08/06/2021,11.28,8.21,6.3,5.95,5.69,5.85,4.48,4.27,4.53,3.5,2.68,2.5,2.39,2.4,1.91,1.81,1.67,1.53,1.44,1.39,1.32,1.25,1.33,1.21,1.06,1.1,0.87,0.84,0.73,0.73,0.69,0.57,0.65,0.59,0.62,0.55,0.57,0.52,0.45,0.53,0.42,0.24,0.28,0.24,0.27,0.23,0.19,0.2,0.23,0.2,0.18,0.19,0.17,0.14,0.13,0.13,0.1,0.08,0.1,0.08,0.07,0.06,0.13,0.01,0.0,0.0,0.0,0.0,100.03
08/10/2021,11.2,8.07,6.43,6.22,5.58,5.87,4.46,4.2,4.49,3.5,2.64,2.55,2.42,2.42,1.88,1.81,1.78,1.52,1.43,1.4,1.32,1.25,1.35,1.21,1.05,1.1,0.87,0.81,0.73,0.73,0.67,0.59,0.65,0.5,0.62,0.6,0.59,0.52,0.45,0.53,0.41,0.22,0.29,0.24,0.27,0.24,0.06,0.2,0.23,0.21,0.18,0.2,0.17,0.14,0.14,0.13,0.1,0.08,0.09,0.09,0.07,0.06,0.13,0.01,0.0,0.05,0.0,0.0,100.02
08/11/2021,11.2,8.07,6.43,6.22,5.58,5.87,4.46,4.2,4.49,3.5,2.64,2.55,2.42,2.42,1.88,1.81,1.78,1.52,1.43,1.4,1.32,1.25,1.35,1.21,1.05,1.1,0.87,0.81,0.73,0.73,0.67,0.59,0.65,0.5,0.62,0.6,0.59,0.52,0.45,0.53,0.41,0.22,0.29,0.24,0.27,0.24,0.06,0.2,0.23,0.21,0.18,0.2,0.17,0.14,0.14,0.13,0.1,0.08,0.09,0.09,0.07,0.06,0.13,0.01,0.0,0.05,0.0,0.0,100.02
08/12/2021,11.2,8.05,6.37,6.3,5.63,5.85,4.46,4.22,4.46,3.5,2.63,2.54,2.4,2.41,1.88,1.81,1.78,1.51,1.42,1.4,1.32,1.23,1.35,1.2,1.05,1.09,0.88,0.8,0.73,0.73,0.66,0.6,0.64,0.51,0.61,0.59,0.59,0.52,0.45,0.52,0.42,0.23,0.29,0.24,0.28,0.24,0.09,0.19,0.25,0.21,0.18,0.19,0.17,0.14,0.14,0.13,0.1,0.08,0.09,0.09,0.08,0.06,0.13,0.01,0.0,0.06,0.0,0.0,99.98
08/13/2021,11.26,7.93,6.46,6.41,5.65,5.87,4.45,4.2,4.47,3.48,2.63,2.52,2.4,2.42,1.87,1.81,1.79,1.5,1.43,1.39,1.32,1.2,1.35,1.21,1.05,1.08,0.87,0.81,0.73,0.73,0.65,0.61,0.63,0.49,0.62,0.58,0.59,0.51,0.45,0.53,0.42,0.22,0.29,0.23,0.28,0.24,0.09,0.19,0.26,0.21,0.18,0.19,0.17,0.14,0.15,0.13,0.1,0.06,0.09,0.09,0.08,0.06,0.13,0.01,0.0,0.06,0.0,0.0,100.02
08/16/2021,11.36,7.89,6.48,6.43,5.63,5.91,4.46,4.17,4.47,3.5,2.63,2.54,2.42,2.45,1.87,1.81,1.82,1.49,1.45,1.38,1.32,1.17,1.35,1.17,1.06,1.08,0.86,0.81,0.73,0.73,0.63,0.59,0.62,0.48,0.62,0.6,0.57,0.51,0.45,0.53,0.41,0.2,0.29,0.23,0.27,0.24,0.09,0.17,0.25,0.21,0.18,0.19,0.17,0.13,0.15,0.13,0.1,0.05,0.08,0.08,0.08,0.06,0.13,0.01,0.0,0.07,0.0,0.0,100.01
08/17/2021,11.43,7.82,6.47,6.52,5.62,5.92,4.46,4.14,4.47,3.5,2.62,2.53,2.43,2.44,1.88,1.8,1.82,1.51,1.44,1.38,1.32,1.18,1.34,1.18,1.06,1.08,0.86,0.8,0.73,0.72,0.62,0.58,0.62,0.47,0.62,0.6,0.56,0.5,0.45,0.53,0.41,0.19,0.28,0.23,0.27,0.24,0.1,0.16,0.25,0.21,0.17,0.19,0.17,0.13,0.15,0.14,0.1,0.06,0.09,0.09,0.08,0.06,0.13,0.01,0.0,0.06,0.0,0.0,99.99
08/19/2021,11.5,7.89,6.4,6.5,5.67,5.87,4.49,4.21,4.48,3.48,2.63,2.52,2.43,2.43,1.9,1.79,1.77,1.5,1.45,1.38,1.32,1.18,1.35,1.18,1.07,1.08,0.86,0.79,0.73,0.73,0.62,0.58,0.62,0.45,0.62,0.58,0.56,0.5,0.45,0.53,0.4,0.19,0.28,0.23,0.26,0.24,0.1,0.17,0.25,0.21,0.17,0.2,0.17,0.13,0.15,0.14,0.1,0.05,0.08,0.09,0.08,0.06,0.13,0.01,0.0,0.05,0.0,0.0,100.03000000000002
08/20/2021,11.58,7.8,6.38,6.46,5.62,5.85,4.54,4.19,4.47,3.48,2.66,2.51,2.44,2.42,1.91,1.79,1.75,1.52,1.46,1.39,1.32,1.16,1.36,1.18,1.07,1.09,0.87,0.78,0.74,0.74,0.63,0.59,0.63,0.43,0.63,0.59,0.58,0.5,0.45,0.52,0.4,0.18,0.28,0.23,0.25,0.23,0.09,0.17,0.25,0.21,0.17,0.2,0.17,0.13,0.15,0.14,0.09,0.05,0.08,0.09,0.08,0.06,0.13,0.01,0.0,0.09,0.0,0.0,100.01
