,AAPL,MSFT,AVGO,INTC,IBM,ORCL,QCOM,TXN,ADI,HPQ,AMAT,CSCO,VZ,BCE.TO,T,T.TO,LUMN,RCI.B.TO,INTU,LRCX,MSI,HPE,STX,KLAC,SJR.B.TO,CTSH,NTAP,NXPI,VOD,MCHP,SWKS,JNPR,NLOK,ROP,CDW,INFY,OTEX.TO,XRX,LDOS,CTXS,DOX,CCOI,LOGN.SW,NATI,SSNC,MPWR,SAP,SAIC,ERIC,US Dollar,TDS,CDK,GILT,YY,CCMP,ATHM,IDI.,SIMO,PBI,CHT,KLIC,CSGS,PHI,PRGS,BRKS,POWI,SSTK,SWCH,SHEN,ADTN,UMC,AMSWA,ABST.TO,ATNI,AUDC,CMTL,EBIX,Silicon Motion Technology Corp ADR,IDCC,Us Dollars,Chunghwa Telecom Co Ltd ADR,PLDT Inc ADR,n/a,TSM,CMCSA,GLW,TEL,APH,MBT,AMX,VIV,UI,KT,AVT,SKM,ORAN,CABO,KBR,DLB,JBL,VSH,MCFE,PTI.,HIMX,BHE,SPNS,MEI,HCKT,SLP,FUO.,KD WI,SUM
07/09/2021,8.93,8.71,7.85,7.69,7.56,4.13,4.11,3.94,2.38,2.36,1.97,1.96,1.95,1.94,1.93,1.93,1.9,1.83,1.77,1.71,1.45,1.39,1.34,1.32,1.21,1.13,1.12,1.1,1.09,0.94,0.89,0.79,0.72,0.59,0.58,0.57,0.55,0.48,0.47,0.44,0.43,0.4,0.37,0.36,0.36,0.27,0.23,0.21,0.21,0.2,0.19,0.17,0.17,0.15,0.12,0.11,0.11,0.11,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/12/2021,9.05,8.65,7.9,7.61,7.65,4.33,4.08,3.89,2.33,2.33,1.93,1.97,1.93,1.95,1.88,1.93,1.9,1.82,1.77,1.67,1.45,1.4,1.36,1.3,1.22,1.13,1.12,1.08,1.08,0.92,0.88,0.8,0.71,0.59,0.58,0.57,0.55,0.48,0.48,0.44,0.44,0.4,0.37,0.36,0.35,0.26,0.24,0.21,0.21,0.21,0.19,0.17,0.17,0.15,0.12,0.12,0.11,0.12,0.1,0.09,0.08,0.08,0.08,0.08,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/13/2021,9.05,8.65,7.9,7.61,7.65,4.33,4.08,3.89,2.33,2.33,1.93,1.97,1.93,1.95,1.88,1.93,1.9,1.82,1.77,1.67,1.45,1.4,1.36,1.3,1.22,1.13,1.12,1.08,1.08,0.92,0.88,0.8,0.71,0.59,0.58,0.57,0.55,0.48,0.48,0.44,0.44,0.4,0.37,0.36,0.35,0.26,0.24,0.21,0.21,0.21,0.19,0.17,0.17,0.15,0.12,0.12,0.11,0.12,0.1,0.09,0.08,0.08,0.08,0.08,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/14/2021,9.06,8.66,7.91,7.62,7.66,4.33,4.09,3.9,2.34,2.33,1.93,1.98,1.93,1.95,1.88,1.94,1.9,1.82,1.77,1.67,1.45,1.4,1.36,1.3,1.22,1.13,1.12,1.08,1.08,0.92,0.88,0.8,0.71,0.59,0.58,0.57,0.55,0.49,0.48,0.44,0.44,0.4,0.37,0.36,0.35,0.26,0.24,0.21,0.21,0.0,0.19,0.17,0.17,0.15,0.12,0.12,0.0,0.0,0.1,0.09,0.08,0.08,0.08,0.08,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.12,0.11,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,9.01,8.63,7.99,7.71,7.61,4.29,4.11,3.93,2.35,2.26,1.96,1.95,1.93,1.95,1.88,1.93,1.89,1.81,1.77,1.7,1.44,1.39,1.38,1.32,1.23,1.13,1.11,1.1,1.09,0.93,0.88,0.79,0.7,0.6,0.57,0.56,0.55,0.48,0.48,0.43,0.44,0.41,0.37,0.35,0.35,0.27,0.24,0.21,0.21,0.0,0.19,0.17,0.16,0.14,0.12,0.11,0.0,0.12,0.09,0.0,0.08,0.08,0.08,0.08,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.11,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,9.1,8.76,7.98,7.75,7.6,4.3,4.09,3.92,2.35,2.19,1.95,1.96,1.93,1.95,1.87,1.94,1.87,1.82,1.78,1.7,1.44,1.33,1.37,1.32,1.21,1.12,1.09,1.1,1.08,0.92,0.88,0.79,0.7,0.6,0.57,0.56,0.54,0.47,0.48,0.43,0.43,0.41,0.36,0.35,0.35,0.27,0.24,0.21,0.22,0.0,0.19,0.17,0.16,0.15,0.12,0.12,0.0,0.0,0.09,0.09,0.08,0.08,0.08,0.08,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.12,0.11,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/19/2021,9.34,8.82,7.92,7.66,7.66,4.29,4.12,3.89,2.32,2.2,1.92,1.99,1.96,1.95,1.89,1.93,1.87,1.81,1.78,1.68,1.45,1.36,1.35,1.29,1.21,1.13,1.08,1.06,1.06,0.89,0.89,0.82,0.67,0.61,0.57,0.57,0.55,0.47,0.49,0.44,0.44,0.41,0.35,0.35,0.36,0.26,0.24,0.21,0.22,0.0,0.18,0.17,0.15,0.15,0.12,0.12,0.0,0.12,0.09,0.0,0.08,0.08,0.08,0.08,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.1,0.05,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/20/2021,9.3,8.91,7.85,7.62,7.65,4.4,4.11,3.88,2.29,2.17,1.87,2.01,1.98,1.97,1.91,1.94,1.82,1.85,1.8,1.63,1.45,1.36,1.33,1.26,1.23,1.13,1.07,1.05,1.08,0.87,0.89,0.81,0.68,0.61,0.58,0.57,0.55,0.46,0.5,0.45,0.44,0.41,0.35,0.35,0.36,0.27,0.24,0.21,0.2,0.0,0.19,0.17,0.15,0.15,0.12,0.12,0.0,0.11,0.09,0.0,0.08,0.08,0.08,0.07,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.1,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,9.3,8.91,7.85,7.62,7.65,4.4,4.11,3.88,2.29,2.17,1.87,2.01,1.98,1.97,1.91,1.94,1.82,1.85,1.8,1.63,1.45,1.36,1.33,1.26,1.23,1.13,1.07,1.05,1.08,0.87,0.89,0.81,0.68,0.61,0.58,0.57,0.55,0.46,0.5,0.45,0.44,0.41,0.35,0.35,0.36,0.27,0.24,0.21,0.2,0.0,0.19,0.17,0.15,0.15,0.12,0.12,0.0,0.11,0.09,0.0,0.08,0.08,0.0,0.07,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.1,0.08,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,9.3,8.91,7.85,7.62,7.65,4.4,4.11,3.88,2.29,2.17,1.87,2.01,1.98,1.97,1.91,1.94,1.82,1.85,1.8,1.63,1.45,1.36,1.33,1.26,1.23,1.13,1.07,1.05,1.08,0.87,0.89,0.81,0.68,0.61,0.58,0.57,0.55,0.46,0.5,0.45,0.44,0.41,0.35,0.35,0.36,0.27,0.24,0.21,0.2,0.0,0.19,0.17,0.15,0.15,0.12,0.12,0.0,0.11,0.09,0.0,0.08,0.08,0.08,0.07,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.1,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/23/2021,9.26,8.84,7.84,7.64,7.69,4.45,4.1,3.91,2.29,2.22,1.92,2.0,1.94,1.94,1.87,1.92,1.83,1.82,1.82,1.68,1.44,1.36,1.35,1.3,1.22,1.12,1.08,1.06,1.03,0.89,0.89,0.8,0.68,0.62,0.58,0.57,0.55,0.46,0.49,0.44,0.44,0.41,0.35,0.35,0.36,0.27,0.23,0.21,0.19,0.0,0.19,0.17,0.15,0.14,0.12,0.11,0.0,0.11,0.09,0.0,0.08,0.08,0.08,0.08,0.06,0.07,0.07,0.07,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
07/26/2021,9.22,8.97,7.89,7.66,7.66,4.51,4.14,3.79,2.29,2.17,1.98,2.02,1.94,1.93,1.86,1.9,1.78,1.76,1.85,1.74,1.43,1.36,1.3,1.33,1.22,1.12,1.05,1.06,1.06,0.89,0.89,0.79,0.67,0.61,0.58,0.57,0.55,0.47,0.49,0.43,0.43,0.4,0.36,0.35,0.36,0.28,0.22,0.21,0.19,0.0,0.19,0.17,0.16,0.14,0.12,0.1,0.0,0.11,0.09,0.0,0.08,0.08,0.08,0.08,0.06,0.07,0.07,0.06,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,9.3,9.05,7.98,7.24,7.67,4.34,4.2,3.84,2.3,2.19,1.99,2.04,1.93,1.93,1.86,1.9,1.78,1.75,1.86,1.75,1.44,1.36,1.33,1.36,1.22,1.13,1.06,1.07,1.07,0.89,0.89,0.8,0.67,0.62,0.59,0.58,0.55,0.47,0.49,0.43,0.43,0.4,0.35,0.35,0.36,0.29,0.22,0.21,0.19,0.0,0.19,0.17,0.16,0.13,0.12,0.1,0.0,0.11,0.09,0.0,0.08,0.08,0.08,0.08,0.06,0.07,0.08,0.06,0.05,0.06,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.0,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/28/2021,9.3,9.05,7.98,7.24,7.67,4.34,4.2,3.84,2.3,2.19,1.99,2.04,1.93,1.93,1.86,1.9,1.78,1.75,1.86,1.75,1.44,1.36,1.33,1.36,1.22,1.13,1.06,1.07,1.07,0.89,0.89,0.8,0.67,0.62,0.59,0.58,0.55,0.47,0.49,0.43,0.43,0.4,0.35,0.35,0.36,0.29,0.22,0.21,0.19,0.0,0.19,0.17,0.16,0.13,0.12,0.1,0.0,0.0,0.09,0.09,0.08,0.08,0.08,0.08,0.06,0.07,0.08,0.06,0.05,0.06,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.11,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/29/2021,9.29,8.99,7.93,7.39,7.72,4.33,4.14,3.85,2.3,2.21,1.98,2.04,1.92,1.93,1.86,1.89,1.81,1.74,1.86,1.74,1.44,1.39,1.34,1.34,1.22,1.13,1.07,1.07,1.07,0.89,0.89,0.8,0.66,0.6,0.59,0.58,0.55,0.47,0.49,0.43,0.43,0.4,0.35,0.35,0.36,0.28,0.22,0.21,0.19,0.0,0.19,0.17,0.16,0.13,0.12,0.09,0.0,0.0,0.09,0.09,0.08,0.08,0.08,0.08,0.06,0.07,0.08,0.06,0.05,0.06,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,9.24,9.01,7.9,7.31,7.79,4.37,4.11,3.83,2.3,2.22,1.95,2.05,1.95,1.95,1.88,1.92,1.81,1.76,1.86,1.71,1.45,1.39,1.33,1.32,1.22,1.14,1.07,1.06,1.08,0.88,0.88,0.81,0.66,0.62,0.59,0.59,0.56,0.5,0.5,0.44,0.43,0.4,0.32,0.35,0.36,0.28,0.23,0.21,0.19,0.0,0.19,0.17,0.16,0.13,0.11,0.09,0.0,0.11,0.09,0.0,0.08,0.08,0.08,0.08,0.06,0.07,0.07,0.06,0.05,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.1,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/02/2021,9.08,8.92,7.97,7.31,7.67,4.32,4.36,3.89,2.34,2.23,1.97,2.02,1.93,1.94,1.87,1.9,1.76,1.73,1.85,1.69,1.45,1.4,1.35,1.35,1.22,1.2,1.07,1.1,1.07,0.9,0.91,0.79,0.63,0.61,0.59,0.59,0.56,0.49,0.49,0.37,0.43,0.4,0.32,0.35,0.38,0.3,0.23,0.21,0.19,0.0,0.19,0.17,0.17,0.13,0.12,0.09,0.0,0.12,0.09,0.0,0.08,0.08,0.08,0.07,0.06,0.07,0.08,0.06,0.05,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.1,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/03/2021,9.07,8.84,7.96,7.29,7.6,4.29,4.31,3.89,2.34,2.23,2.0,2.03,1.91,1.94,1.85,1.91,1.75,1.73,1.86,1.73,1.44,1.39,1.36,1.46,1.22,1.19,1.08,1.11,1.05,0.91,0.85,0.81,0.64,0.6,0.59,0.59,0.55,0.48,0.49,0.38,0.43,0.4,0.32,0.37,0.38,0.31,0.23,0.2,0.19,0.25,0.18,0.16,0.17,0.13,0.12,0.08,0.1,0.14,0.08,0.09,0.08,0.08,0.07,0.07,0.06,0.08,0.08,0.06,0.05,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/04/2021,9.07,8.84,7.96,7.29,7.6,4.29,4.31,3.89,2.34,2.23,2.0,2.03,1.91,1.94,1.85,1.91,1.75,1.73,1.86,1.73,1.44,1.39,1.36,1.46,1.22,1.19,1.08,1.11,1.05,0.91,0.85,0.81,0.64,0.6,0.59,0.59,0.55,0.48,0.49,0.38,0.43,0.4,0.32,0.37,0.38,0.31,0.23,0.2,0.19,0.25,0.18,0.16,0.17,0.13,0.12,0.08,0.1,0.14,0.08,0.09,0.08,0.08,0.07,0.07,0.06,0.08,0.08,0.06,0.05,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/05/2021,9.05,8.84,7.95,7.28,7.62,4.31,4.29,3.89,2.35,2.25,2.02,2.03,1.91,1.94,1.85,1.89,1.75,1.73,1.85,1.74,1.44,1.39,1.37,1.45,1.21,1.2,1.08,1.13,1.06,0.92,0.86,0.81,0.63,0.6,0.59,0.59,0.55,0.48,0.49,0.39,0.42,0.4,0.32,0.37,0.37,0.31,0.23,0.2,0.19,0.21,0.17,0.16,0.17,0.13,0.12,0.09,0.1,0.14,0.08,0.09,0.08,0.08,0.07,0.07,0.06,0.08,0.08,0.06,0.05,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/06/2021,9.09,8.84,7.92,7.28,7.71,4.38,4.23,3.83,2.34,2.26,2.01,2.04,1.9,1.93,1.84,1.91,1.77,1.72,1.84,1.74,1.44,1.41,1.39,1.45,1.21,1.21,1.1,1.13,1.07,0.93,0.86,0.83,0.62,0.6,0.6,0.61,0.55,0.48,0.43,0.38,0.42,0.4,0.32,0.36,0.36,0.31,0.23,0.19,0.19,0.0,0.17,0.16,0.16,0.12,0.12,0.08,0.0,0.14,0.08,0.0,0.08,0.08,0.07,0.08,0.06,0.08,0.07,0.06,0.03,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.11,0.19,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/26/2021,8.6,8.49,7.9,7.69,7.98,3.87,4.16,3.96,2.43,2.36,2.05,1.96,1.94,1.94,1.91,1.95,1.92,1.82,1.74,1.78,1.41,1.41,1.37,1.38,1.22,1.14,1.12,1.12,1.12,0.96,0.89,0.79,0.71,0.58,0.57,0.57,0.55,0.48,0.47,0.44,0.43,0.41,0.36,0.35,0.35,0.26,0.23,0.21,0.21,0.0,0.19,0.17,0.16,0.16,0.13,0.12,0.0,0.12,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85
09/03/2021,9.26,9.19,8.0,7.19,7.42,4.3,4.14,3.82,2.24,2.25,1.89,2.12,1.85,1.99,1.77,1.94,1.69,1.69,1.95,1.61,1.54,1.45,1.33,1.4,1.2,1.22,1.18,1.14,1.08,0.98,0.83,0.82,0.67,0.58,0.64,0.62,0.57,0.44,0.44,0.38,0.42,0.37,0.29,0.34,0.36,0.33,0.23,0.19,0.19,0.0,0.16,0.14,0.15,0.15,0.11,0.08,0.0,0.13,0.08,0.09,0.1,0.08,0.09,0.08,0.06,0.09,0.08,0.07,0.03,0.05,0.06,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.11,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/07/2021,9.4,9.16,8.0,7.11,7.37,4.34,4.08,3.8,2.23,2.26,1.9,2.13,1.86,2.0,1.78,1.96,1.66,1.68,1.94,1.62,1.55,1.45,1.37,1.41,1.22,1.22,1.21,1.13,1.07,0.98,0.83,0.82,0.69,0.59,0.64,0.63,0.57,0.44,0.44,0.38,0.42,0.38,0.29,0.34,0.35,0.34,0.23,0.2,0.19,0.0,0.17,0.14,0.15,0.15,0.11,0.08,0.0,0.13,0.07,0.09,0.11,0.08,0.09,0.08,0.06,0.09,0.08,0.08,0.03,0.05,0.06,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
09/08/2021,9.4,9.16,8.0,7.11,7.37,4.34,4.08,3.8,2.23,2.26,1.9,2.13,1.86,2.0,1.78,1.96,1.66,1.68,1.94,1.62,1.55,1.45,1.37,1.41,1.22,1.22,1.21,1.13,1.07,0.98,0.83,0.82,0.69,0.59,0.64,0.63,0.57,0.44,0.44,0.38,0.42,0.38,0.29,0.34,0.35,0.34,0.23,0.2,0.19,0.0,0.17,0.14,0.15,0.15,0.11,0.08,0.0,0.13,0.07,0.09,0.11,0.08,0.09,0.08,0.06,0.09,0.08,0.08,0.03,0.05,0.06,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
09/09/2021,9.4,9.16,8.0,7.11,7.37,4.34,4.08,3.8,2.23,2.26,1.9,2.13,1.86,2.0,1.78,1.96,1.66,1.68,1.94,1.62,1.55,1.45,1.37,1.41,1.22,1.22,1.21,1.13,1.07,0.98,0.83,0.82,0.69,0.59,0.64,0.63,0.57,0.44,0.44,0.38,0.42,0.38,0.29,0.34,0.35,0.34,0.23,0.2,0.19,0.0,0.17,0.14,0.15,0.15,0.11,0.08,0.0,0.13,0.07,0.09,0.11,0.08,0.09,0.08,0.06,0.09,0.08,0.08,0.03,0.05,0.06,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
09/10/2021,9.6,9.18,8.03,7.17,7.33,4.3,4.08,3.81,2.25,2.18,1.92,2.12,1.85,2.0,1.78,1.97,1.65,1.66,1.94,1.59,1.56,1.42,1.34,1.42,1.2,1.22,1.2,1.13,1.08,0.98,0.82,0.8,0.69,0.58,0.64,0.62,0.57,0.43,0.44,0.38,0.42,0.39,0.3,0.34,0.35,0.34,0.24,0.2,0.19,0.0,0.16,0.14,0.15,0.16,0.11,0.09,0.0,0.14,0.07,0.09,0.11,0.08,0.09,0.07,0.06,0.09,0.08,0.08,0.03,0.05,0.06,0.04,0.03,0.03,0.03,0.03,0.02,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
