,2SPY  220630C00003410,2SPY  220630P00406660,Cash&Other,2SPY  220630P00278240,2SPY  220630C00453740,SUM
07/09/2021,98.65,5.37,0.78,-0.99,-3.83,99.98000000000002
07/12/2021,99.24,5.24,0.8,-1.02,-4.25,100.01
07/13/2021,99.24,5.24,0.8,-1.02,-4.25,100.01
07/14/2021,99.24,5.24,0.8,-1.02,-4.25,100.01
07/15/2021,99.48,5.16,0.8,-0.99,-4.45,100.0
07/16/2021,99.25,5.35,0.79,-1.05,-4.35,99.99
07/19/2021,98.83,5.54,0.8,-1.01,-4.17,99.99
07/20/2021,98.45,5.77,0.8,-1.13,-3.9,99.99
07/21/2021,98.45,5.77,0.8,-1.13,-3.9,99.99
07/22/2021,97.51,6.39,0.81,-1.27,-3.43,100.01
07/23/2021,98.44,5.78,0.83,-1.17,-3.88,100.0
07/26/2021,99.23,5.33,0.83,-1.05,-4.35,99.99
07/27/2021,99.88,5.08,0.82,-1.01,-4.77,100.0
07/28/2021,99.88,5.08,0.82,-1.01,-4.77,100.0
07/29/2021,100.12,5.02,0.82,-1.0,-4.95,100.01
07/30/2021,99.65,5.27,0.82,-1.07,-4.67,100.0
08/02/2021,99.98,5.01,0.78,-0.98,-4.78,100.01
08/03/2021,99.66,5.1,0.9,-1.01,-4.66,99.99
08/04/2021,99.66,5.1,0.9,-1.01,-4.66,99.99
08/05/2021,99.47,5.22,0.9,-1.03,-4.55,100.01
08/06/2021,99.9,4.94,0.89,-0.97,-4.77,99.99
08/10/2021,100.21,4.67,0.88,-0.9,-4.86,100.0
08/11/2021,100.21,4.67,0.88,-0.9,-4.86,100.0
08/13/2021,100.18,4.78,0.88,-0.92,-4.91,100.01
08/16/2021,100.75,4.54,0.75,-0.86,-5.19,99.99
08/17/2021,100.54,4.55,0.78,-0.8,-5.08,99.99
08/18/2021,100.54,4.55,0.78,-0.8,-5.08,99.99
08/19/2021,101.08,4.45,0.78,-0.84,-5.47,100.0
08/20/2021,100.49,4.77,0.78,-0.91,-5.13,100.0
08/23/2021,99.94,5.19,0.78,-1.04,-4.87,100.0
08/24/2021,100.45,4.87,0.77,-0.96,-5.13,100.0
08/25/2021,100.45,4.87,0.77,-0.96,-5.13,100.0
08/26/2021,101.18,4.46,0.77,-0.89,-5.52,100.0
08/27/2021,101.24,4.5,0.76,-0.9,-5.61,99.99
08/30/2021,100.94,4.61,0.81,-0.91,-5.46,99.99
08/31/2021,101.57,4.26,0.81,-0.83,-5.81,100.0
09/01/2021,101.57,4.26,0.81,-0.83,-5.81,100.0
09/02/2021,101.97,4.13,0.81,-0.81,-6.09,100.01
09/03/2021,101.94,4.19,0.8,-0.82,-6.11,100.0
09/06/2021,102.08,4.11,0.79,-0.8,-6.18,100.0
09/07/2021,102.07,4.14,0.79,-0.81,-6.19,100.0
09/08/2021,102.07,4.14,0.79,-0.81,-6.19,100.0
09/09/2021,102.07,4.14,0.79,-0.81,-6.19,100.0
09/10/2021,101.81,4.34,0.79,-0.87,-6.07,100.0
09/13/2021,101.43,4.54,0.78,-0.9,-5.85,100.0
09/14/2021,100.93,4.77,0.78,-0.97,-5.51,100.0
09/15/2021,100.93,4.77,0.78,-0.97,-5.51,100.0
09/16/2021,101.04,4.61,0.78,-0.92,-5.51,100.0
09/17/2021,100.61,4.75,0.78,-0.93,-5.22,99.99
09/20/2021,101.02,4.54,0.77,-0.86,-5.48,99.99
09/21/2021,100.26,4.9,0.77,-0.94,-4.98,100.01
09/22/2021,100.26,4.9,0.77,-0.94,-4.98,100.01
09/23/2021,98.99,5.63,0.77,-1.08,-4.31,100.0
09/24/2021,98.93,5.56,0.76,-1.05,-4.21,99.99000000000002
09/27/2021,100.55,4.51,0.75,-0.8,-5.02,99.99
09/28/2021,100.66,4.42,0.75,-0.79,-5.04,100.0
09/29/2021,100.66,4.42,0.75,-0.79,-5.04,100.0
09/30/2021,100.4,4.57,0.75,-0.82,-4.91,99.99
10/01/2021,99.06,5.37,0.75,-0.97,-4.21,100.0
10/04/2021,98.39,5.58,0.64,-0.98,-3.64,99.99
10/05/2021,99.14,5.18,0.63,-0.91,-4.04,100.0
10/06/2021,99.14,5.18,0.63,-0.91,-4.04,100.0
10/07/2021,98.32,5.61,0.63,-0.97,-3.6,99.99
10/08/2021,98.97,5.18,0.63,-0.89,-3.89,100.0
10/11/2021,99.28,5.03,0.63,-0.85,-4.08,100.01
10/12/2021,99.7,4.72,0.62,-0.79,-4.25,100.0
10/13/2021,99.7,4.72,0.62,-0.79,-4.25,100.0
10/14/2021,99.13,4.91,0.61,-0.81,-3.84,100.0
10/15/2021,99.01,4.92,0.58,-0.83,-3.68,100.0
10/18/2021,100.46,4.11,0.57,-0.67,-4.48,99.98999999999998
10/19/2021,101.05,3.94,0.57,-0.66,-4.89,100.01
10/20/2021,101.05,3.94,0.57,-0.66,-4.89,100.01
10/21/2021,101.3,3.9,0.56,-0.67,-5.1,99.99
10/22/2021,101.96,3.63,0.56,-0.63,-5.51,100.01
10/25/2021,102.36,3.44,0.55,-0.59,-5.77,99.99
10/26/2021,102.31,3.51,0.55,-0.61,-5.77,99.99
10/27/2021,102.31,3.51,0.55,-0.61,-5.77,99.99
10/28/2021,102.72,3.3,0.55,-0.56,-6.02,99.99
10/29/2021,102.86,3.31,0.54,-0.55,-6.16,100.0
11/01/2021,103.19,3.31,0.53,-0.57,-6.47,99.99
11/02/2021,103.52,3.22,0.53,-0.56,-6.72,99.99
11/03/2021,103.52,3.22,0.53,-0.56,-6.72,99.99
11/04/2021,103.58,3.18,0.53,-0.53,-6.76,100.0
11/05/2021,103.89,3.08,0.53,-0.52,-6.97,100.01
11/08/2021,104.7,2.83,0.57,-0.48,-7.63,99.99
11/09/2021,105.09,2.83,0.54,-0.51,-7.95,100.0
11/10/2021,105.09,2.83,0.54,-0.51,-7.95,100.0
11/11/2021,105.16,2.86,0.54,-0.51,-8.06,99.99
11/12/2021,104.86,2.94,0.54,-0.53,-7.81,100.0
11/15/2021,104.27,2.99,0.53,-0.52,-7.27,100.0
11/16/2021,104.93,2.78,0.53,-0.51,-7.74,99.99
11/17/2021,104.93,2.78,0.53,-0.51,-7.74,99.99
11/18/2021,104.9,2.77,0.52,-0.5,-7.69,100.0
11/19/2021,105.24,2.73,0.52,-0.51,-7.99,99.99
11/22/2021,105.01,2.88,0.52,-0.55,-7.87,99.99
11/23/2021,105.01,2.88,0.52,-0.55,-7.87,99.99
11/24/2021,105.25,2.86,0.51,-0.54,-8.08,100.0
11/25/2021,105.09,2.93,0.51,-0.55,-7.98,100.00000000000001
