,ANGL,SJNK,SHYG,USHY,PFF,Cash&Other,n/a,STPZ,TIP,IGLB,VCLT,LQD,SUM
07/09/2021,23.46,22.59,22.33,20.42,9.96,1.24,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,47.38,10.61,10.33,20.43,9.96,1.29,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,47.38,10.61,10.33,20.43,9.96,1.29,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,47.38,10.61,10.33,20.43,9.96,1.29,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,47.38,10.6,10.33,20.43,9.97,1.29,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,47.39,10.61,10.34,20.43,9.94,1.29,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,47.39,10.61,10.34,20.44,9.93,1.28,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,47.4,10.62,10.34,20.44,9.93,1.27,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,47.4,10.62,10.34,20.44,9.93,1.27,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,47.37,10.62,10.35,20.45,9.93,1.28,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,47.32,10.62,10.36,20.47,9.96,1.27,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,47.41,10.61,10.34,20.46,9.92,1.25,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/27/2021,47.39,10.6,10.34,20.47,9.94,1.25,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/28/2021,47.39,10.6,10.34,20.47,9.94,1.25,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/29/2021,47.55,10.64,10.37,20.51,9.97,0.97,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,47.54,10.64,10.37,20.52,9.97,0.96,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,47.53,10.64,10.36,20.52,10.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,47.38,10.59,10.31,20.41,9.99,1.32,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,47.38,10.59,10.31,20.41,9.99,1.32,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,47.38,10.58,10.31,20.41,10.02,1.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,47.35,10.58,10.31,20.43,10.03,1.29,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/09/2021,47.38,10.58,10.3,20.39,10.05,0.0,1.28,0.0,0.0,0.0,0.0,0.0,99.98
08/10/2021,42.34,5.59,5.31,20.41,15.04,1.35,0.0,4.99,4.98,0.0,0.0,0.0,100.01
08/11/2021,42.34,5.59,5.31,20.41,15.04,1.35,0.0,4.99,4.98,0.0,0.0,0.0,100.01
08/13/2021,42.31,5.6,5.32,20.43,14.96,1.35,0.0,5.01,5.0,0.0,0.0,0.0,99.98000000000002
08/16/2021,42.33,5.6,5.32,20.41,15.01,1.34,0.0,5.0,4.99,0.0,0.0,0.0,100.0
08/17/2021,42.38,5.59,5.31,20.4,15.01,1.33,0.0,4.99,4.99,0.0,0.0,0.0,100.0
08/18/2021,42.38,5.59,5.31,20.4,15.01,1.33,0.0,4.99,4.99,0.0,0.0,0.0,100.0
08/19/2021,42.37,5.59,5.31,20.41,15.0,1.33,0.0,4.99,4.99,0.0,0.0,0.0,99.99
08/20/2021,42.36,5.6,5.32,20.43,14.97,1.33,0.0,5.0,4.99,0.0,0.0,0.0,100.0
08/23/2021,42.36,5.6,5.32,20.43,14.96,1.32,0.0,5.0,5.0,0.0,0.0,0.0,99.99
08/24/2021,42.4,5.6,5.32,20.42,14.98,1.31,0.0,4.99,4.98,0.0,0.0,0.0,100.0
08/25/2021,42.4,5.6,5.32,20.42,14.98,1.31,0.0,4.99,4.98,0.0,0.0,0.0,100.0
08/26/2021,42.4,5.59,5.32,20.44,14.97,1.31,0.0,4.99,4.98,0.0,0.0,0.0,100.0
08/27/2021,42.46,5.59,5.31,20.43,14.96,1.3,0.0,4.98,4.97,0.0,0.0,0.0,100.0
08/30/2021,42.61,5.61,5.33,20.5,14.92,1.03,0.0,5.0,4.98,0.0,0.0,0.0,99.98
08/31/2021,42.6,5.6,5.33,20.47,14.98,1.02,0.0,5.0,5.0,0.0,0.0,0.0,100.0
09/01/2021,42.6,5.6,5.33,20.47,14.98,1.02,0.0,5.0,5.0,0.0,0.0,0.0,100.0
09/02/2021,42.63,5.6,5.32,20.47,14.97,1.02,0.0,4.99,5.0,0.0,0.0,0.0,100.0
09/03/2021,42.49,5.58,5.3,20.41,14.9,1.38,0.0,4.99,4.95,0.0,0.0,0.0,100.0
09/06/2021,42.56,5.58,5.3,20.35,14.94,1.37,0.0,4.95,4.94,0.0,0.0,0.0,99.99
09/07/2021,42.57,5.58,5.3,20.39,14.92,1.37,0.0,4.95,4.93,0.0,0.0,0.0,100.01
09/08/2021,42.57,5.58,5.3,20.39,14.92,1.37,0.0,4.95,4.93,0.0,0.0,0.0,100.01
09/09/2021,42.57,5.58,5.3,20.39,14.92,1.37,0.0,4.95,4.93,0.0,0.0,0.0,100.01
09/10/2021,42.55,5.58,5.31,20.41,14.9,1.37,0.0,4.96,4.93,0.0,0.0,0.0,100.01
09/13/2021,42.53,5.57,5.3,20.39,14.92,1.35,0.0,4.96,4.96,0.0,0.0,0.0,99.98
09/14/2021,42.55,5.57,5.3,20.4,14.9,1.35,0.0,4.96,4.96,0.0,0.0,0.0,99.98999999999998
09/15/2021,42.55,5.57,5.3,20.4,14.9,1.35,0.0,4.96,4.96,0.0,0.0,0.0,99.98999999999998
09/16/2021,42.58,5.58,5.3,20.43,14.86,1.35,0.0,4.96,4.95,0.0,0.0,0.0,100.01
09/17/2021,42.62,5.57,5.3,20.43,14.83,1.34,0.0,4.95,4.95,0.0,0.0,0.0,99.98999999999998
09/20/2021,42.61,5.57,5.29,20.42,14.9,1.33,0.0,4.94,4.93,0.0,0.0,0.0,99.99
09/21/2021,42.61,5.58,5.3,20.43,14.88,1.33,0.0,4.95,4.93,0.0,0.0,0.0,100.01
09/22/2021,42.61,5.58,5.3,20.43,14.88,1.33,0.0,4.95,4.93,0.0,0.0,0.0,100.01
09/23/2021,42.61,5.59,5.31,20.45,14.8,1.33,0.0,4.96,4.95,0.0,0.0,0.0,100.0
09/24/2021,42.61,5.59,5.31,20.43,14.84,1.32,0.0,4.95,4.94,0.0,0.0,0.0,99.99
09/27/2021,42.62,5.59,5.31,20.44,14.87,1.31,0.0,4.94,4.92,0.0,0.0,0.0,100.0
09/28/2021,42.75,5.61,5.33,20.52,14.87,1.03,0.0,4.96,4.93,0.0,0.0,0.0,100.0
09/29/2021,42.75,5.61,5.33,20.52,14.87,1.03,0.0,4.96,4.93,0.0,0.0,0.0,100.0
09/30/2021,42.75,5.62,5.33,20.53,14.84,1.03,0.0,4.97,4.93,0.0,0.0,0.0,100.0
10/01/2021,42.71,5.63,5.35,20.56,14.77,1.03,0.0,5.0,4.95,0.0,0.0,0.0,100.0
10/04/2021,42.53,5.61,5.32,20.45,14.79,1.39,0.0,4.97,4.93,0.0,0.0,0.0,99.99
10/05/2021,42.56,5.61,5.32,20.46,14.77,1.35,0.0,4.98,4.95,0.0,0.0,0.0,100.0
10/06/2021,42.56,5.61,5.32,20.46,14.77,1.35,0.0,4.98,4.95,0.0,0.0,0.0,100.0
10/07/2021,42.56,5.61,5.33,20.47,14.71,1.35,0.0,5.0,4.96,0.0,0.0,0.0,99.99
10/08/2021,42.52,5.62,5.34,20.47,14.72,1.35,0.0,5.01,4.97,0.0,0.0,0.0,100.0
10/11/2021,42.5,5.62,5.33,20.46,14.77,1.34,0.0,5.01,4.96,0.0,0.0,0.0,99.99
10/12/2021,42.42,5.62,5.34,20.46,14.81,1.34,0.0,5.02,4.98,0.0,0.0,0.0,99.99
10/13/2021,42.42,5.62,5.34,20.46,14.81,1.34,0.0,5.02,4.98,0.0,0.0,0.0,99.99
10/14/2021,42.38,5.63,5.34,20.46,14.83,1.34,0.0,5.03,4.99,0.0,0.0,0.0,100.0
10/15/2021,42.46,5.62,5.33,20.43,14.84,1.33,0.0,5.02,4.98,0.0,0.0,0.0,100.01
10/18/2021,42.45,5.6,5.32,20.44,14.91,1.31,0.0,4.99,4.97,0.0,0.0,0.0,99.99
10/19/2021,42.47,5.61,5.32,20.44,14.89,1.31,0.0,4.99,4.97,0.0,0.0,0.0,100.0
10/20/2021,42.47,5.61,5.32,20.44,14.89,1.31,0.0,4.99,4.97,0.0,0.0,0.0,100.0
10/21/2021,42.48,5.61,5.32,20.42,14.91,1.3,0.0,4.99,4.97,0.0,0.0,0.0,100.0
10/22/2021,42.48,5.61,5.33,20.44,14.89,1.3,0.0,4.99,4.95,0.0,0.0,0.0,99.99
10/25/2021,42.48,5.6,5.31,20.39,14.95,1.29,0.0,5.0,4.97,0.0,0.0,0.0,99.98999999999998
10/26/2021,42.47,5.6,5.32,20.38,14.94,1.28,0.0,5.01,4.99,0.0,0.0,0.0,99.98999999999998
10/27/2021,42.47,5.6,5.32,20.38,14.94,1.28,0.0,5.01,4.99,0.0,0.0,0.0,99.98999999999998
10/28/2021,42.45,5.6,5.32,20.38,14.97,1.28,0.0,5.01,4.99,0.0,0.0,0.0,100.0
10/29/2021,42.59,5.61,5.32,20.41,14.99,1.04,0.0,5.02,5.01,0.0,0.0,0.0,99.99
11/01/2021,42.7,5.6,5.32,20.4,14.97,1.02,0.0,5.0,4.98,0.0,0.0,0.0,99.99
11/02/2021,42.49,5.58,5.3,20.31,14.98,1.4,0.0,4.98,4.96,0.0,0.0,0.0,100.0
11/03/2021,42.49,5.58,5.3,20.31,14.98,1.4,0.0,4.98,4.96,0.0,0.0,0.0,100.0
11/04/2021,42.49,5.58,5.3,20.31,15.02,1.33,0.0,5.0,4.96,0.0,0.0,0.0,99.99
11/05/2021,42.49,5.58,5.29,20.32,15.02,1.33,0.0,5.0,4.97,0.0,0.0,0.0,100.0
11/08/2021,42.53,5.58,5.29,20.33,14.98,1.31,0.0,4.99,4.97,0.0,0.0,0.0,99.98
11/09/2021,42.64,5.57,5.28,20.33,14.93,1.3,0.0,4.98,4.97,0.0,0.0,0.0,100.0
11/10/2021,42.64,5.57,5.28,20.33,14.93,1.3,0.0,4.98,4.97,0.0,0.0,0.0,100.0
11/11/2021,42.63,5.57,5.28,20.33,14.91,1.3,0.0,4.99,5.0,0.0,0.0,0.0,100.01
11/12/2021,42.69,5.56,5.28,20.31,14.86,1.3,0.0,4.99,5.02,0.0,0.0,0.0,100.01
11/15/2021,42.66,5.58,5.29,20.31,14.81,1.29,0.0,5.02,5.03,0.0,0.0,0.0,99.99
11/16/2021,42.62,5.58,5.29,20.33,14.82,1.29,0.0,5.03,5.03,0.0,0.0,0.0,99.99
11/17/2021,42.62,5.58,5.29,20.33,14.82,1.29,0.0,5.03,5.03,0.0,0.0,0.0,99.99
11/18/2021,42.56,5.58,5.3,20.34,14.84,1.29,0.0,5.05,5.04,0.0,0.0,0.0,100.0
11/19/2021,42.59,5.58,5.3,20.34,14.82,1.28,0.0,5.05,5.04,0.0,0.0,0.0,100.0
11/22/2021,42.57,5.58,5.3,20.32,14.82,1.28,0.0,5.06,5.05,0.0,0.0,0.0,99.98
11/23/2021,42.57,5.58,5.3,20.32,14.82,1.28,0.0,5.06,5.05,0.0,0.0,0.0,99.98
11/24/2021,42.61,5.58,5.29,20.3,14.86,1.27,0.0,5.04,5.05,0.0,0.0,0.0,100.0
11/25/2021,0.0,0.0,0.0,0.0,14.83,2.23,0.0,0.0,15.01,28.85,28.84,9.97,99.73
11/26/2021,0.0,0.0,0.0,0.0,14.97,2.25,0.0,0.0,15.12,28.83,28.82,10.01,100.0
11/29/2021,0.0,0.0,0.0,0.0,14.95,2.02,0.0,0.0,15.1,28.97,28.95,10.01,100.0
11/30/2021,0.0,0.0,0.0,0.0,14.74,2.0,0.0,0.0,15.07,29.06,29.1,10.02,99.98999999999998
12/01/2021,0.0,0.0,0.0,0.0,14.81,0.5,0.0,0.0,15.02,30.57,29.08,10.02,100.0
12/02/2021,0.0,0.0,0.0,0.0,14.81,0.5,0.0,0.0,15.02,30.57,29.08,10.02,100.0
12/06/2021,0.0,0.0,0.0,0.0,14.51,0.0,0.71,0.0,14.84,30.69,29.25,10.0,100.0
12/07/2021,0.0,0.0,0.0,0.0,14.51,0.0,0.71,0.0,14.84,30.69,29.25,10.0,100.0
12/08/2021,0.0,0.0,0.0,0.0,14.51,0.0,0.71,0.0,14.84,30.69,29.25,10.0,100.0
12/09/2021,0.0,0.0,0.0,0.0,14.51,0.0,0.71,0.0,14.84,30.69,29.25,10.0,100.0
12/10/2021,0.0,0.0,0.0,0.0,14.51,0.0,0.71,0.0,14.84,30.69,29.25,10.0,100.0
12/13/2021,0.0,0.0,0.0,0.0,14.51,0.0,0.71,0.0,14.84,30.69,29.25,10.0,100.0
12/14/2021,0.0,0.0,0.0,0.0,14.51,0.0,0.71,0.0,14.84,30.69,29.25,10.0,100.0
12/15/2021,0.0,0.0,0.0,0.0,14.51,0.0,0.71,0.0,14.84,30.69,29.25,10.0,100.0
12/16/2021,0.0,0.0,0.0,0.0,14.51,0.0,0.71,0.0,14.84,30.69,29.25,10.0,100.0
12/17/2021,0.0,0.0,0.0,0.0,14.51,0.0,0.71,0.0,14.84,30.69,29.25,10.0,100.0
12/20/2021,0.0,0.0,0.0,0.0,14.51,0.0,0.71,0.0,14.84,30.69,29.25,10.0,100.0
